Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South)
02/02/2015,12,25,1499,660,1079,2034,3182,0,2680,0,847,351,301,114,530,1828,1604,538,652,994,2721,1823,705,1046,676,881,0,125,1708,926,350,241,315,792,853,403,3873,850
02/02/2015,13,38,1423,611,1408,2275,3525,0,3251,0,918,250,335,106,462,1855,1697,559,494,957,2925,1882,693,1181,628,1069,0,191,1868,916,497,252,294,772,858,388,3930,832
02/02/2015,14,24,764,446,972,1920,3286,0,2401,0,530,200,208,51,231,1759,1394,601,432,717,2703,1427,444,884,673,938,0,132,1699,586,374,168,192,419,563,234,4024,528
02/02/2015,15,24,677,535,1223,2312,3109,0,2445,0,605,252,199,50,183,1920,1300,565,406,600,2642,1633,444,856,693,894,0,160,1878,608,393,170,200,262,532,278,4169,445
02/02/2015,16,30,798,895,2294,2050,2947,0,2250,0,1500,407,204,59,278,2339,1515,728,416,569,3141,2476,511,772,726,815,0,107,2096,604,393,303,199,234,520,231,4260,394
02/02/2015,17,54,1275,1849,4093,2158,3119,0,2102,0,2487,551,323,89,523,3278,2548,1670,932,597,3712,3700,671,984,1213,991,0,172,2874,644,429,442,312,345,737,0,4945,441
02/02/2015,18,28,807,820,1683,1989,2303,0,1227,0,1031,351,267,58,342,2031,1610,954,942,465,2726,2021,362,846,814,972,0,159,1782,635,413,199,219,277,436,0,3721,289
02/02/2015,19,13,427,245,567,1707,1674,0,668,0,273,147,181,56,163,1557,1008,465,343,381,2085,909,189,735,370,920,618,109,1467,577,509,105,169,142,278,0,2605,178
02/02/2015,20,15,240,122,274,1397,1096,0,376,0,114,67,169,43,73,781,853,378,143,322,1465,555,134,664,251,699,551,103,410,476,504,81,132,79,127,0,1912,189
02/02/2015,21,7,208,107,156,1088,819,0,230,0,91,66,127,33,80,937,673,270,114,234,1090,383,129,569,174,503,469,55,892,422,734,49,108,108,155,0,1553,113
02/02/2015,22,5,126,42,116,840,555,0,157,0,43,48,55,5,32,714,437,188,81,166,753,320,60,343,171,403,262,47,535,269,261,27,54,71,64,0,1167,69
02/02/2015,23,2,88,32,51,402,302,0,88,0,27,17,28,5,21,241,254,177,22,115,477,152,50,342,46,174,198,35,82,206,125,13,50,37,28,0,743,84
03/02/2015,0,1,39,8,35,203,145,0,43,0,7,3,13,7,13,93,97,48,14,89,188,67,34,152,38,101,52,30,43,108,75,9,12,19,22,0,282,26
03/02/2015,1,0,11,0,12,83,80,0,10,0,9,5,2,0,0,47,34,12,10,43,76,21,2,78,5,49,22,8,21,47,28,4,3,6,8,0,151,10
03/02/2015,2,1,37,1,7,52,41,0,10,0,1,7,6,0,1,18,14,14,1,37,21,7,3,55,5,20,16,3,10,49,12,1,1,9,0,2,81,7
03/02/2015,3,0,18,3,9,31,28,0,9,0,0,5,3,1,2,20,16,7,7,22,23,8,9,32,6,9,18,5,20,17,7,1,1,6,1,11,68,4
03/02/2015,4,0,21,2,8,50,29,0,21,0,3,2,3,2,1,29,17,28,10,26,50,12,0,24,12,7,2,3,37,28,6,2,6,7,5,5,79,2
03/02/2015,5,0,38,40,91,48,76,0,27,0,41,13,17,4,22,102,108,82,42,56,130,131,39,17,48,7,11,5,96,13,10,9,15,32,12,7,210,19
03/02/2015,6,0,217,164,699,145,174,0,69,0,395,110,70,9,114,315,479,251,217,143,487,747,114,83,177,18,15,30,310,46,22,79,50,77,64,11,625,57
03/02/2015,7,3,764,724,2146,300,474,0,246,0,1431,289,206,50,262,941,1182,586,597,293,1293,1777,410,158,529,73,49,86,846,133,100,194,143,221,233,43,1500,206
03/02/2015,8,18,1939,1870,5113,886,1064,0,506,0,2867,632,343,75,395,1813,0,1303,914,597,2575,3527,1019,317,775,208,167,161,1751,246,189,453,242,519,725,168,2931,692
03/02/2015,9,10,1132,910,2572,787,1193,0,620,0,1410,312,146,27,192,1110,0,492,308,683,1623,2054,516,244,442,187,116,132,1022,233,155,290,185,358,503,180,2307,583
03/02/2015,10,13,658,431,907,911,1523,0,989,0,514,209,149,20,131,1164,825,301,258,750,1444,1265,400,384,380,283,190,140,977,338,216,160,159,270,460,138,2443,576
